
Image 0 |  PSNR - 30.50752438419561 | MSE - 173.559814453125 | MAE - 927948.0
Image 1 |  PSNR - 31.42333179997355 | MSE - 140.56216430664062 | MAE - 860090.0
Image 2 |  PSNR - 44.457250465886744 | MSE - 6.989990234375 | MAE - 219720.0
Image 3 |  PSNR - 30.32913722096676 | MSE - 180.83724975585938 | MAE - 1035258.0
Image 4 |  PSNR - 19.666042118695774 | MSE - 2106.674331665039 | MAE - 2838071.0
Image 5 |  PSNR - 35.90735811528308 | MSE - 50.05711364746094 | MAE - 520937.0
Image 6 |  PSNR - 29.35649524283065 | MSE - 226.23098754882812 | MAE - 1169746.0
Image 7 |  PSNR - 29.110629760388438 | MSE - 239.40798950195312 | MAE - 903506.0
Image 8 |  PSNR - 40.34522120715458 | MSE - 18.016876220703125 | MAE - 303892.0
Image 9 |  PSNR - 28.245089352463914 | MSE - 292.20838928222656 | MAE - 613171.0
Image 10 |  PSNR - 37.022599208706055 | MSE - 38.72056579589844 | MAE - 462909.0
Image 11 |  PSNR - 38.94392707040894 | MSE - 24.87762451171875 | MAE - 368094.0
Image 12 |  PSNR - 24.93906767400339 | MSE - 625.5972747802734 | MAE - 1542139.0
Image 13 |  PSNR - 47.884720790398916 | MSE - 3.174896240234375 | MAE - 128210.0
Image 14 |  PSNR - 36.50719017306188 | MSE - 43.599609375 | MAE - 542246.0
Image 15 |  PSNR - 27.726789717738512 | MSE - 329.24761962890625 | MAE - 1365276.0
Image 16 |  PSNR - 27.575418878306614 | MSE - 340.9256896972656 | MAE - 1543288.0
Image 17 |  PSNR - 41.53064388290111 | MSE - 13.713150024414062 | MAE - 239133.0
Image 18 |  PSNR - 22.975013080971713 | MSE - 983.3323059082031 | MAE - 2193818.0
Image 19 |  PSNR - 33.17638676873156 | MSE - 93.8778076171875 | MAE - 693748.0
Image 20 |  PSNR - 25.171543983997648 | MSE - 592.9897918701172 | MAE - 1612107.0
Image 21 |  PSNR - 43.325596396329935 | MSE - 9.070724487304688 | MAE - 193201.0
Image 22 |  PSNR - 31.11842805477703 | MSE - 150.7852325439453 | MAE - 1009395.0
